OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
EYESAT A (AO-27),1993-061C,2026-01-02T03:18:05.398272,14.30885747,.0007693,98.7113,69.4502,222.2745,137.7846,0,U,22825,999,68325,.12056E-3,.272E-5,0
ITAMSAT (IO-26),1993-061D,2026-01-02T03:59:17.316096,14.31307452,.0008476,98.7064,69.3805,204.9038,155.1737,0,U,22826,999,68356,.13486E-3,.312E-5,0
USA 99 (MILSTAR-1 1),1994-009A,2026-01-02T01:13:54.321888,1.00273115,.0004182,17.3700,29.4977,266.9361,93.7530,0,U,22988,999,3129,0,-.204E-5,0
RADIO ROSTO (RS-15),1994-085A,2026-01-02T04:17:20.620032,11.27583414,.0150475,64.8132,211.6963,34.6690,326.3933,0,U,23439,999,27718,.14323E-2,.8E-7,0
UFO 4 (USA 108),1995-003A,2026-01-01T18:47:31.263072,1.00272993,.00032027,9.6644,13.7750,264.0839,277.6506,0,U,23467,999,11328,0,-.2E-6,0
TDRS 7,1995-035B,2026-01-01T21:49:21.347040,1.00277239,.0003792,13.4459,349.3327,47.3219,121.3066,0,U,23613,999,11158,0,-.238E-5,0
USA 115 (MILSTAR-1 2),1995-060A,2026-01-02T01:23:38.785920,1.00273314,.0003611,14.0119,4.9745,291.7992,65.8440,0,U,23712,999,3121,0,-.21E-6,0
POLAR,1996-013A,2025-12-30T08:36:41.090688,1.29846089,.6301344,79.6488,228.9591,214.7898,80.1882,0,U,23802,999,14266,0,.226E-5,0
INMARSAT 3-F1,1996-020A,2026-01-02T02:53:02.639616,0.99974911,.0008363,10.2546,48.1445,220.6029,310.0035,0,U,23839,999,10859,0,-.23E-6,0
USA 119,1996-029A,2026-01-02T03:16:39.933984,13.45681869,.0842537,63.3228,266.3955,46.6198,320.1933,0,U,23893,999,8292,.68434E-3,.395E-4,0
JAS-2 (FO-29),1996-046B,2026-01-02T02:32:20.192928,13.53264037,.0350133,98.5452,233.5055,167.1250,193.9122,0,U,24278,999,45070,.55222E-4,.2E-6,0
INMARSAT 3-F2,1996-053A,2026-01-02T00:06:38.621952,0.99995477,.0005995,9.4805,55.6116,225.9867,139.8911,0,U,24307,999,10726,0,-.281E-5,0
INMARSAT 3-F3,1996-070A,2026-01-01T17:16:17.500800,0.99986798,.00083942,9.9581,51.2370,223.5957,297.8548,0,U,24674,999,10624,0,.119E-5,0
NAVSTAR 43 (USA 132),1997-035A,2026-01-01T16:13:17.393664,2.00563667,.00969327,55.9044,105.0889,56.8749,304.0395,0,U,24876,999,20861,0,-.29E-6,0
FORTE,1997-047A,2026-01-01T12:18:43.630272,14.27853323,.0020357,69.9538,30.4662,153.3521,206.8652,0,U,24920,999,47489,.20866E-3,.46E-5,0
AMC-3,1997-050A,2026-01-02T04:51:51.398208,1.00270225,.0003398,7.7393,65.9845,215.6495,181.1650,0,U,24936,999,5077,0,-.261E-5,0
USA 134,1997-065A,2026-01-02T02:00:00.220032,1.00272554,.0007055,12.5856,22.9500,273.5716,82.8212,0,U,25019,999,3128,0,-.64E-6,0
ORBCOMM FM06,1997-084G,2026-01-01T19:22:08.131584,14.46957730,.0002241,45.0122,133.3421,177.9865,338.9364,0,U,25118,999,47028,.12984499E-2,.4622E-4,0
INMARSAT 3-F5,1998-006B,2026-01-02T02:05:47.814144,1.00266628,.0005531,9.3213,54.8954,233.6264,150.6070,0,U,25153,999,10223,0,-.291E-5,0
ORBCOMM FM04,1998-007C,2026-01-02T03:08:48.501888,14.35340635,.0042619,107.9626,187.7805,258.2772,101.3585,0,U,25159,999,45276,.90619E-3,.2498E-4,0
CELESTIS-02 & TAURUS R/B,1998-007D,2026-01-01T22:23:08.769696,14.22426170,.0060176,108.0136,356.6597,56.1344,1.3845,0,U,25160,999,44687,.16695E-3,.25E-5,0
TECHSAT 1B (GO-32),1998-043D,2026-01-01T22:29:54.840192,14.24384073,.0001293,98.9938,350.6176,20.1905,339.9324,0,U,25397,999,42766,.10743E-3,.202E-5,0
WESTPAC,1998-043E,2026-01-01T21:52:37.162272,14.23040668,.0001192,98.9964,344.1753,15.5041,344.6173,0,U,25398,999,42729,.31111E-4,.24E-6,0
ORBCOMM FM19,1998-046C,2026-01-02T03:09:30.032640,14.39047225,.0002975,44.9944,312.6350,234.5120,244.5687,0,U,25415,999,43285,.92615E-3,.2746E-4,0
ORBCOMM FM20,1998-046D,2026-01-02T00:44:31.557984,14.37722079,.0002113,44.9946,319.2638,287.9844,72.0774,0,U,25416,999,43287,.73897E-3,.2102E-4,0
ORBCOMM FM27,1998-053G,2026-01-02T04:28:56.919360,14.38724902,.0002366,45.0056,43.5684,240.8341,119.2271,0,U,25481,999,42632,.80615E-3,.2355E-4,0
SCD 2,1998-060A,2026-01-02T04:39:54.780192,14.45437175,.0016853,24.9966,15.7733,168.1957,265.3236,0,U,25504,999,43628,.1383E-3,.678E-5,0
ISS (ZARYA),1998-067A,2026-01-01T18:58:54.170400,15.49013666,.0007502,51.6329,43.1850,328.5908,31.4631,0,U,25544,999,54596,.26338E-3,.14103E-3,0
SWAS,1998-071A,2026-01-02T02:15:39.196224,15.08191116,.000525,69.8986,295.4141,189.8971,170.2090,0,U,25560,999,47221,.65045E-3,.9993E-4,0
SKYNET 4E,1999-009B,2026-01-02T01:55:53.115168,0.99025998,.0004845,11.9655,9.9881,256.3322,97.5204,0,U,25639,999,4950,0,.49E-6,0
DLR-TUBSAT,1999-029B,2025-12-17T13:22:10.787520,14.52359578,.00141996,98.6566,336.2196,177.8976,182.2281,0,U,25757,999,40688,.37650132E-4,.105E-5,0
CXO,1999-040B,2026-01-02T18:34:24.707712,0.37803565,.81075815,53.4579,121.7282,310.8774,0.1301,0,U,25867,999,1670,0,.599E-5,0
ABS-6,1999-053A,2026-01-02T02:17:38.715072,1.00271527,.0002296,0.0327,282.6803,5.0078,7.4609,0,U,25924,999,9616,0,-.111E-5,0
NAVSTAR 46 (USA 145),1999-055A,2026-01-01T18:49:32.039904,2.00570793,.0107651,51.6143,302.7467,170.5709,196.8842,0,U,25933,999,19224,0,-.67E-6,0
UFO 10 (USA 146),1999-063A,2026-01-01T21:17:16.920096,1.00270819,.0006694,9.8260,28.0806,255.2205,114.6329,0,U,25967,999,9568,0,-.187E-5,0
