OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
GSAT-31,2019-007B,2026-01-02T02:45:40.846176,1.00270268,.0006412,0.0220,276.0759,352.7174,282.2581,0,U,44035,999,2530,0,.134E-5,0
EGYPTSAT-A (MISRSAT-A),2019-008A,2026-01-02T04:20:58.911360,14.72282348,.0001292,98.0038,69.3119,75.0035,285.1315,0,U,44047,999,36881,.93358E-4,.54E-5,0
NUSANTARA SATU,2019-009A,2026-01-02T00:08:38.407776,1.00269097,.0001451,0.0370,123.4682,62.6683,63.6763,0,U,44048,999,2510,0,-.226E-5,0
ONEWEB-0012,2019-010A,2026-01-02T02:58:17.907168,13.16593879,.0001925,87.9033,261.8546,76.9358,283.1988,0,U,44057,999,32971,-.16962E-3,-.52E-6,0
ONEWEB-0010,2019-010B,2026-01-02T03:34:47.144064,13.16593701,.0001315,87.9042,261.8409,60.7558,299.3705,0,U,44058,999,32976,.5386E-4,.33E-6,0
ONEWEB-0008,2019-010C,2026-01-02T04:11:15.566208,13.16593729,.0001457,87.9043,261.8336,86.2774,273.8523,0,U,44059,999,32988,.32639E-3,.138E-5,0
ONEWEB-0007,2019-010D,2026-01-01T18:33:49.848768,13.15548847,.00018637,87.9005,292.4380,65.1400,294.9923,0,U,44060,999,32949,-.12487316E-3,-.34E-6,0
ONEWEB-0006,2019-010E,2026-01-01T18:39:32.246784,13.15548318,.00016199,87.9011,292.3853,67.7919,292.3383,0,U,44061,999,32954,.4902313E-5,.15E-6,0
ONEWEB-0011,2019-010F,2026-01-01T17:53:52.700640,13.15546903,.0001471,87.9011,292.4004,77.5847,282.5447,0,U,44062,999,32953,-.30053561E-3,-.1E-5,0
S5,2019-009D,2026-01-01T19:53:02.488128,0.99336351,.00059735,6.1390,72.8455,166.2133,202.3906,0,U,44065,999,2479,0,.9E-6,0
ZHONGXING-6C,2019-012A,2026-01-02T04:51:58.749120,1.00268082,.0004872,0.0215,6.7951,28.8105,269.6741,0,U,44067,999,2507,0,-.327E-5,0
WGS 10 (USA 291),2019-014A,2025-12-31T09:43:58.940256,1.00273750,.00005204,0.0142,356.8165,337.8728,331.6729,0,U,44071,999,2493,0,.62E-6,0
PRISMA,2019-015A,2026-01-02T03:59:55.322592,14.83670511,.0001198,97.8682,79.3297,88.4063,271.7288,0,U,44072,999,36743,.23511E-3,.1889E-4,0
TIANLIAN 2-01,2019-017A,2026-01-02T04:36:37.719936,1.00270548,.0004652,0.1121,75.1149,191.1781,341.7139,0,U,44076,999,2498,0,-.98E-6,0
EMISAT,2019-018A,2026-01-02T03:35:58.248672,14.43642942,.00188,98.4914,61.6700,1.2450,358.8784,0,U,44078,999,35610,.11522E-3,.347E-5,0
O3B FM20,2019-020A,2026-01-01T16:52:28.750656,5.00115388,.0003109,0.0480,0.2876,271.4601,88.2154,0,U,44112,999,12324,0,-.15E-6,0
O3B FM19,2019-020B,2026-01-01T03:08:05.187840,5.00115822,.0004727,0.0567,16.1090,293.0569,50.7913,0,U,44113,999,12307,0,-.14E-6,0
O3B FM17,2019-020C,2026-01-02T00:14:38.624928,5.00115301,.0002862,0.0478,336.5844,300.1779,83.2035,0,U,44114,999,12321,0,-.16E-6,0
O3B FM18,2019-020D,2026-01-01T22:57:16.376256,5.00115115,.0002831,0.0481,0.7551,279.6381,79.5734,0,U,44115,999,12333,0,-.16E-6,0
ARABSAT-6A,2019-021A,2026-01-02T02:40:41.323296,1.00271891,.0006414,0.0397,345.3689,296.1686,250.8669,0,U,44186,999,2449,0,.162E-5,0
TIANHUI 2-01A,2019-024A,2026-01-01T13:54:09.824832,15.16760460,.00009,97.4783,7.7430,99.2303,260.9032,0,U,44207,999,7688,.20878E-3,.403E-4,0
TIANHUI 2-01B,2019-024C,2026-01-01T15:29:09.909312,15.16760908,.0001426,97.4782,7.8054,84.6782,275.4614,0,U,44209,999,36946,.21156E-3,.4085E-4,0
BEIDOU-2 G8,2019-027A,2026-01-02T04:55:58.367424,1.00270961,.0008794,1.7117,74.7524,257.1438,348.4819,0,U,44231,999,2441,0,-.241E-5,0
RISAT-2B,2019-028A,2026-01-02T03:54:07.218720,15.01666593,.0007503,36.9970,258.4996,136.5432,223.5903,0,U,44233,999,36286,.57219E-3,.7507E-4,0
COSMOS 2534 [GLONASS-M],2019-030A,2026-01-01T04:12:55.011744,2.13101891,.00085602,64.3671,198.2378,283.9859,249.2716,0,U,44299,999,5136,0,.119E-5,0
YAMAL 601,2019-031A,2026-01-02T04:28:38.485056,1.00272077,.000272,0.0168,296.9960,347.1708,293.8158,0,U,44307,999,2425,0,.128E-5,0
BUFENG 1A,2019-032A,2026-01-02T02:26:50.238240,15.23930381,.0006421,44.9720,242.1508,46.3988,313.7425,0,U,44310,999,36181,.11161E-2,.27304E-3,0
BUFENG 1B,2019-032B,2026-01-02T00:00:47.693664,15.23658260,.0026183,44.9744,195.3631,99.5100,260.8742,0,U,44311,999,36236,.71727E-3,.17428E-3,0
JILIN-1 GAOFEN 3A,2019-032C,2026-01-01T23:37:03.703296,15.28176135,.0004395,44.9730,188.8018,111.7111,248.4240,0,U,44312,999,36237,.74722E-3,.20676E-3,0
TIANQI-3,2019-032E,2026-01-01T23:25:11.501184,15.32370191,.0006632,44.9986,178.3687,115.4200,244.7372,0,U,44314,999,36252,.93009E-3,.29466E-3,0
RCM-1,2019-033A,2026-01-02T03:29:51.305280,14.92589904,.0001499,97.7599,11.9620,91.0448,269.0943,0,U,44322,999,35731,-.30599E-5,-.87E-6,0
RCM-3,2019-033B,2026-01-02T05:38:57.078240,14.92591662,.0001494,97.7596,12.1447,90.0687,270.0703,0,U,44323,999,35734,.73098E-4,.696E-5,0
RCM-2,2019-033C,2026-01-02T04:34:23.505312,14.92590563,.0001502,97.7599,12.0511,89.3395,270.7997,0,U,44324,999,35732,.47543E-4,.433E-5,0
AT&T T-16,2019-034A,2026-01-02T02:03:14.908608,1.00269956,.0000687,0.0215,69.1677,109.3135,213.1897,0,U,44333,999,2396,0,-.106E-5,0
EUTELSAT 7C,2019-034B,2026-01-02T02:33:56.967840,1.00265728,.0003341,0.0747,181.8902,83.2655,242.0511,0,U,44334,999,517,0,.56E-6,0
BEIDOU-3 IGSO-2,2019-035A,2026-01-01T20:14:22.943904,1.00264502,.00379628,55.2298,160.3252,202.9880,160.8675,0,U,44337,999,2400,0,-.9E-6,0
PROX-1,2019-036A,2026-01-01T12:35:22.676928,14.85782673,.0006012,23.9945,143.6716,274.2915,85.6896,0,U,44339,999,34861,.23307E-2,.21057E-3,0
NPSAT1,2019-036B,2026-01-01T21:04:43.732416,14.72473927,.0007781,23.9978,219.3325,133.1885,226.9261,0,U,44340,999,34793,.18736E-2,.12403E-3,0
OTB,2019-036C,2026-01-02T04:03:47.334240,14.56793081,.0010635,23.9984,311.7529,340.6441,19.3646,0,U,44341,999,34713,.59256E-3,.2921E-4,0
FORMOSAT 7-3,2019-036E,2026-01-02T00:28:34.843008,15.08108294,.0001088,23.9986,240.8748,89.9189,270.1439,0,U,44343,999,35811,.55982E-3,.9214E-4,0
DSX,2019-036F,2025-12-26T21:39:19.936512,4.54375581,.19686978,42.2861,53.6551,301.8812,40.4882,0,U,44344,999,10796,0,-.24E-6,0
FORMOSAT 7-1,2019-036L,2026-01-01T13:05:13.013664,14.98579920,.0001099,23.9989,75.7229,150.7936,209.2627,0,U,44349,999,35966,.53193E-3,.6846E-4,0
FORMOSAT 7-4,2019-036M,2026-01-01T13:36:48.062880,14.98574805,.0001116,23.9975,137.6686,147.1486,212.9085,0,U,44350,999,35908,.53012E-3,.6823E-4,0
FORMOSAT 7-2,2019-036N,2026-01-01T20:32:42.617184,14.98578183,.000091,23.9968,190.0360,159.5733,200.4805,0,U,44351,999,35864,.48118E-3,.6222E-4,0
FORMOSAT 7-6,2019-036Q,2026-01-02T04:32:48.016032,14.98581385,.0001234,24.0000,8.6105,188.0073,172.0409,0,U,44353,999,35692,.5239E-3,.6748E-4,0
FORMOSAT 7-5,2019-036V,2026-01-02T04:00:15.206688,14.98585144,.0001214,24.0005,307.5106,148.8270,211.2304,0,U,44358,999,35745,.54551E-3,.7014E-4,0
METEOR-M2 2,2019-038A,2026-01-02T04:18:27.280224,14.24302262,.0002033,98.8985,347.1609,111.2274,248.9122,0,U,44387,999,33766,.16714E-3,.34E-5,0
ICEYE-X4,2019-038D,2026-01-02T04:18:08.240256,15.25100800,.0015046,97.8941,25.6774,158.4795,201.7077,0,U,44390,999,35646,.74998E-3,.18782E-3,0
MOMENTUS-X1,2019-038Y,2026-01-02T01:27:47.865024,15.54128964,.0008495,97.7009,33.6968,263.6531,96.3754,0,U,44408,999,36065,.70327E-3,.45833E-3,0
COSMOS 2538,2019-039D,2026-01-02T04:13:17.203584,15.18391894,.0042945,97.6059,80.5724,261.8522,97.7839,0,U,44424,999,35469,.56013E-3,.11735E-3,0
YAOGAN-30 06A,2019-045A,2026-01-02T03:43:23.347776,15.01688361,.0005506,34.9943,261.3383,275.1156,84.8923,0,U,44449,999,35163,.4126E-3,.5448E-4,0
YAOGAN-30 06B,2019-045B,2026-01-02T03:10:16.821696,15.01765639,.000742,34.9926,261.0138,48.4151,311.7192,0,U,44450,999,35167,.47487E-3,.629E-4,0
YAOGAN-30 06C,2019-045C,2026-01-02T04:13:47.784864,15.01628572,.0001381,34.9938,260.6276,305.2457,54.8121,0,U,44451,999,35157,.47513E-3,.6267E-4,0
MERIDIAN 8,2019-046A,2026-01-02T05:33:48.784896,2.00628475,.701862,62.9757,71.9080,274.3727,15.2662,0,U,44453,999,4701,0,-.42E-6,0
COSMOS 2539,2019-048A,2026-01-02T04:27:38.882016,1.00313261,.000301,0.0373,94.0462,225.8117,220.8935,0,U,44457,999,2356,0,.95E-6,0
EDRS-C,2019-049A,2026-01-02T00:16:38.849664,1.00272471,.0001241,0.0298,108.7394,174.9576,324.6193,0,U,44475,999,2354,0,-.253E-5,0
INTELSAT 39 (IS-39),2019-049B,2026-01-02T02:49:40.462752,1.00270591,.0001043,0.0011,1.4583,166.9921,37.6758,0,U,44476,999,2346,0,.42E-6,0
AMOS-17,2019-050A,2026-01-02T02:36:49.193280,1.00272947,.0001621,0.0174,355.0471,277.7642,245.1491,0,U,44479,999,2352,0,.118E-5,0
AEHF-5 (USA 292),2019-051A,2026-01-02T02:58:17.139072,1.00272847,.007087,1.6458,325.0362,2.6197,271.7643,0,U,44481,999,2359,0,-.247E-5,0
BRO-1,2019-054A,2026-01-01T21:34:52.702176,15.57371744,.0008816,45.0003,177.1130,243.8183,116.1805,0,U,44495,999,35360,.98633E-3,.74427E-3,0
GLOBAL-4,2019-054E,2026-01-01T07:48:40.207104,15.49898473,.0008281,45.0083,108.5202,295.5439,64.4597,0,U,44499,999,35435,.82172E-3,.46934E-3,0
NAVSTAR 78 (USA 293),2019-056A,2026-01-02T04:18:49.582656,2.00566474,.0057771,55.7132,337.7411,198.7466,200.5002,0,U,44506,999,4674,0,-.87E-6,0
COSMOS 2540,2019-057A,2026-01-02T03:33:21.396384,13.85914126,.0014852,99.2116,16.5002,255.4274,104.5235,0,U,44517,999,32087,.16222E-3,.143E-5,0
KX-09,2019-058B,2026-01-02T05:17:40.251264,14.96114138,.0010329,97.7824,16.4628,172.4363,187.7015,0,U,44520,999,34521,.1045E-3,.1118E-4,0
ZY-1 02D,2019-059A,2026-01-02T04:08:09.051072,14.35443635,.0000275,98.3449,69.3548,244.1603,115.9555,0,U,44528,999,33052,.76614E-4,.178E-5,0
BNU-1 (JINGSHI 1),2019-059B,2026-01-02T03:18:23.029920,14.48173456,.0013653,98.5842,128.3884,152.2057,207.9868,0,U,44529,999,33295,.31802E-3,.1141E-4,0
TAURUS-1 (JINNIUZUO 1),2019-059C,2026-01-02T04:49:23.924640,14.69549934,.0009056,98.6227,157.1877,111.6657,248.5512,0,U,44530,999,33424,.20984E-2,.12428E-3,0
ZHUHAI-1 03B,2019-060C,2026-01-02T05:13:16.567104,15.43031106,.0010047,97.5339,152.5702,202.1578,157.9236,0,U,44536,999,35063,.11096E-2,.49194E-3,0
ZHUHAI-1 03C,2019-060D,2026-01-02T05:07:58.183968,15.59565269,.0012486,97.5519,159.7599,163.1053,197.0621,0,U,44537,999,35108,.11811E-2,.95003E-3,0
ZHUHAI-1 03D,2019-060E,2026-01-02T04:47:49.767648,15.39528651,.0009645,97.5186,146.0924,184.8759,175.2394,0,U,44538,999,35045,.10702E-2,.42203E-3,0
ZHUHAI-1 03E,2019-060F,2026-01-02T04:40:07.133664,15.34045140,.0006136,97.5389,147.4442,256.4192,103.6367,0,U,44539,999,35025,.10169E-2,.33544E-3,0
BEIDOU-3 M24,2019-061A,2026-01-01T18:52:19.127136,1.86229086,.0009551,54.4009,188.3396,26.8766,333.1987,0,U,44542,999,4269,0,.1E-5,0
BEIDOU-3 M23,2019-061B,2026-01-01T21:58:27.975648,1.86227134,.0005952,54.3998,188.3035,26.1766,333.2014,0,U,44543,999,4269,0,.98E-6,0
YUNHAI-1 02,2019-063A,2026-01-02T04:40:26.925312,14.32654583,.0004439,98.4177,17.4120,294.3277,65.7444,0,U,44547,999,32810,.19571E-3,.489E-5,0
COSMOS 2541,2019-065A,2026-01-01T18:49:41.239776,2.00552337,.647672,62.7235,172.3642,272.2881,20.3878,0,U,44552,999,4588,0,.14E-6,0
GAOFEN-10R,2019-066A,2026-01-02T04:07:46.788384,14.82878251,.0006272,98.0302,314.7614,339.2610,20.8348,0,U,44622,999,33777,.3826E-3,.3047E-4,0
EUTELSAT 5 WEST B,2019-067A,2026-01-02T02:30:34.791840,1.00270603,.0003477,0.0765,324.4064,315.4291,214.5468,0,U,44624,999,2277,0,-.34E-6,0
PALISADE,2019-069A,2026-01-01T20:39:55.666080,13.11898660,.0010173,87.8921,312.9017,144.3537,215.8272,0,U,44634,999,29730,.54023E-3,.206E-5,0
TJS-4,2019-070A,2026-01-02T04:38:07.575936,1.00273017,.0002664,0.0529,217.8018,74.8990,322.1612,0,U,44637,999,2280,0,-.161E-5,0
GAOFEN-7,2019-072A,2026-01-02T04:39:06.628608,15.21562506,.0013047,97.2683,69.6944,264.2177,95.7572,0,U,44703,999,34240,.40876E-3,.9171E-4,0
STARLINK-1008,2019-074B,2026-01-01T18:15:41.736672,15.06412477,.00017412,53.0553,127.0734,129.8244,230.2899,0,U,44714,999,33866,.19716582E-3,.2657E-4,0
STARLINK-1012,2019-074F,2026-01-01T17:43:51.895776,15.06403386,.00012575,53.0557,127.1716,78.6340,281.4791,0,U,44718,999,33865,.30431883E-4,.172E-5,0
STARLINK-1017,2019-074L,2026-01-02T06:00:02.998944,15.19139130,.0003649,53.0507,116.7551,134.9367,159.6034,0,U,44723,999,581,.27404E-2,.58447E-3,0
STARLINK-1019,2019-074M,2026-01-02T06:00:02.998944,15.61091040,.0005427,53.0502,105.7673,312.9413,316.8967,0,U,44724,999,593,.21018E-2,.184144E-2,0
STARLINK-1020,2019-074N,2026-01-01T19:22:02.717760,15.06423920,.00012378,53.0547,146.8676,89.2399,270.8732,0,U,44725,999,33838,.45189077E-3,.646E-4,0
STARLINK-1031,2019-074Z,2026-01-02T06:00:02.998944,15.65237460,.0001414,53.0461,92.0542,20.8681,119.8640,0,U,44736,999,598,.16064E-2,.165012E-2,0
STARLINK-1036,2019-074AE,2026-01-02T06:00:02.998944,15.11564867,.0001286,53.0544,144.7463,90.6255,59.3803,0,U,44741,999,583,.33783E-1,.616881E-2,0
STARLINK-1039,2019-074AH,2026-01-01T19:46:54.512256,15.16286608,.00024565,53.0465,161.1137,67.3693,292.7560,0,U,44744,999,33819,.37815678E-2,.74568E-3,0
STARLINK-1042,2019-074AL,2026-01-02T03:43:06.974976,15.46264743,.0002068,53.0463,53.1497,349.4084,10.6878,0,U,44747,999,33976,.52308E-3,.25823E-3,0
STARLINK-1043,2019-074AM,2026-01-01T19:43:03.719712,15.47069937,.00021182,53.0535,155.6615,205.9333,154.1568,0,U,44748,999,33827,.79812342E-3,.40834E-3,0
STARLINK-1046,2019-074AQ,2026-01-02T06:00:02.998944,15.19411776,.0001231,53.0550,164.4376,85.6807,294.8883,0,U,44751,999,578,.47374E-1,.109943E-1,0
STARLINK-1047,2019-074AR,2026-01-01T13:13:49.581984,15.30877958,.000307,53.0707,99.2439,32.5175,327.6014,0,U,44752,999,33905,.62055E-3,.18456E-3,0
STARLINK-1048,2019-074AS,2026-01-02T06:00:02.998944,15.16935671,.0001147,53.0556,124.6774,98.9559,17.2273,0,U,44753,999,575,.5121E-1,.1107805E-1,0
STARLINK-1053,2019-074AX,2026-01-02T04:09:50.404320,15.70780777,.0002243,53.0376,57.0615,10.7150,349.3914,0,U,44758,999,33969,.96293E-3,.123228E-2,0
STARLINK-1060,2019-074BE,2026-01-02T06:00:02.998944,15.84073889,.0003769,53.0441,99.6829,278.1421,162.6327,0,U,44765,999,602,.10907E-2,.256955E-2,0
STARLINK-1063,2019-074BH,2026-01-02T01:52:10.915968,15.06394019,.0001317,53.0534,165.6512,92.5490,267.5650,0,U,44768,999,33816,-.47646E-5,-.352E-5,0
STARLINK-1067,2019-074BL,2026-01-02T06:00:02.998944,15.41011521,.0001117,53.0540,162.7010,94.9381,219.1054,0,U,44771,999,563,.27574E-1,.125915E-1,0
STARLINK-1068,2019-074BM,2026-01-02T00:00:02.998944,15.42261157,.0002739,53.0532,141.7927,346.9230,58.9487,0,U,44772,999,579,.13944E-2,.60965E-3,0
JILIN-1 GAOFEN 2A,2019-075A,2026-01-02T04:00:03.542688,15.34006085,.0006444,97.5133,82.6140,325.6452,34.4373,0,U,44777,999,33938,.7469E-3,.24559E-3,0
NINGXIA-1 1,2019-076A,2026-01-02T03:34:57.565632,14.02008754,.0010908,45.0036,201.8306,90.2717,269.9367,0,U,44779,999,31455,.136E-3,.79E-6,0
NINGXIA-1 2,2019-076B,2026-01-02T01:31:45.483168,14.02025869,.0006747,45.0065,202.5337,80.0473,280.1122,0,U,44780,999,31454,.17E-3,.131E-5,0
NINGXIA-1 3,2019-076C,2026-01-02T02:51:18.727200,14.02020825,.0009881,44.9976,200.5929,78.9756,281.2189,0,U,44781,999,31455,.14633E-3,.95E-6,0
NINGXIA-1 4,2019-076D,2026-01-02T04:14:53.962080,14.02001669,.0012621,45.0062,201.6668,57.6108,302.5945,0,U,44782,999,31452,.20123E-3,.179E-5,0
NINGXIA-1 5,2019-076E,2026-01-02T03:54:32.491584,14.01992402,.0010762,45.0036,201.1180,78.3771,281.8270,0,U,44783,999,31447,.97237E-4,.19E-6,0
KL-ALPHA A,2019-077A,2026-01-02T04:04:27.900768,13.56024006,.0009504,88.9159,240.8119,229.6336,130.3989,0,U,44785,999,30323,.15002E-3,.117E-5,0
KL-ALPHA B,2019-077B,2026-01-02T04:08:44.066400,13.55984444,.002478,88.9021,238.6260,275.2470,84.5856,0,U,44786,999,30268,.17787E-3,.137E-5,0
BEIDOU-3 M22,2019-078A,2025-12-31T00:22:09.001344,1.86231905,.0006144,54.0914,305.7457,24.5750,335.4544,0,U,44793,999,4151,0,-.73E-6,0
BEIDOU-3 M21,2019-078B,2026-01-01T18:20:40.873344,1.86227555,.0004333,54.0630,305.6488,15.0071,345.0067,0,U,44794,999,4155,0,-.74E-6,0
TIBA-1,2019-080A,2026-01-02T02:42:03.691872,1.00271683,.0002234,0.0532,16.1023,263.2753,258.3784,0,U,44800,999,2239,0,.164E-5,0
INMARSAT GX5,2019-080B,2026-01-02T02:35:04.361568,1.00269035,.0002173,0.0348,8.4693,269.4280,233.6103,0,U,44801,999,512,0,.83E-6,0
CARTOSAT-3,2019-081A,2026-01-02T05:54:05.361696,15.19163247,.0013817,97.4562,66.5674,16.8669,343.3022,0,U,44804,999,33827,.18304E-3,.3788E-4,0
GAOFEN-12 01,2019-082A,2026-01-02T05:15:53.695008,14.80686465,.0002851,97.8125,12.9629,155.5954,204.5394,0,U,44819,999,32953,.1328E-3,.97E-5,0
JILIN-1 GAOFEN 2B,2019-086A,2026-01-02T03:28:31.399104,15.18306288,.0014858,97.5099,75.2927,173.6745,186.4680,0,U,44836,999,33527,.64087E-3,.13127E-3,0
COSMOS 2544 [GLONASS-M],2019-088A,2025-12-31T00:48:34.805088,2.13101933,.00145488,65.4689,79.3470,251.6048,108.2771,0,U,44850,999,4713,0,-.3E-6,0
RISAT-2BR1,2019-089F,2026-01-02T03:55:09.772320,15.01582944,.0013668,36.9620,16.4827,268.5357,91.3819,0,U,44857,999,33223,.63019E-3,.8271E-4,0
IHOPSAT-TD,2019-089H,2026-01-02T02:52:42.931776,15.10622576,.0006648,36.9686,318.6158,299.9723,60.0362,0,U,44859,999,33285,.39791E-3,.6635E-4,0
BEIDOU-3 M19,2019-090A,2026-01-01T10:10:06.391776,1.86231060,.0018676,56.4093,68.3089,286.2452,41.2976,0,U,44864,999,4112,0,-.49E-6,0
BEIDOU-3 M20,2019-090B,2026-01-01T04:29:27.712320,1.86231167,.00158793,56.4109,68.3509,298.2504,320.3065,0,U,44865,999,4110,0,-.5E-6,0
JCSAT-18 (KACIFIC 1),2019-091A,2026-01-02T00:08:38.407776,1.00269107,.0000658,0.0523,213.0111,51.8823,348.8959,0,U,44868,999,2234,0,-.192E-5,0
CSG-1,2019-092A,2026-01-02T04:16:18.079392,14.82149756,.0001482,97.8810,188.1949,86.8483,273.2900,0,U,44873,999,32688,.15867E-3,.1211E-4,0
CHEOPS,2019-092B,2026-01-02T02:31:56.770752,14.61807474,.0009371,98.1473,192.6814,259.3595,100.6551,0,U,44874,999,32163,.18446E-3,.874E-5,0
TIANQIN 1 (CAS-6),2019-093A,2026-01-02T03:53:31.658208,14.94329496,.0010442,97.7939,87.2576,244.1864,115.8279,0,U,44879,999,32724,.59122E-3,.6306E-4,0
ETRSS-1,2019-093B,2026-01-02T05:00:28.541088,14.94608797,.0010535,97.7956,87.6402,245.1189,114.8936,0,U,44880,999,32725,.67447E-3,.7255E-4,0
TIANYAN 01,2019-093C,2026-01-02T04:03:14.705280,14.86161122,.0012139,97.7744,78.3427,273.8284,86.1543,0,U,44881,999,32675,.28471E-3,.2447E-4,0
TIANYAN 02,2019-093D,2026-01-02T04:40:47.479872,15.02564666,.0014367,97.8006,95.7124,222.7518,137.2590,0,U,44882,999,32766,.11265E-2,.14976E-3,0
CBERS 4A,2019-093E,2026-01-02T03:46:08.145408,14.81624787,.0002593,97.7731,74.5763,48.9689,311.1748,0,U,44883,999,32649,.45707E-3,.3544E-4,0
WEILAI 1R,2019-093F,2026-01-02T04:49:00.459264,14.98841218,.0007863,97.8022,91.9605,230.4989,129.5539,0,U,44884,999,32754,.70349E-3,.8439E-4,0
FLORIPASAT-1,2019-093G,2026-01-02T05:41:47.732928,15.01590376,.0009415,97.8022,95.5299,260.3705,99.6456,0,U,44885,999,32772,.79428E-3,.10253E-3,0
SHUNTIAN,2019-093H,2026-01-02T04:24:18.294048,14.94077716,.0010722,97.8109,91.2789,255.9234,104.0794,0,U,44886,999,32738,.6899E-3,.7323E-4,0
ELEKTRO-L 3,2019-095A,2026-01-02T04:36:22.744224,1.00271434,.0002738,0.0403,242.8630,42.2312,321.8156,0,U,44903,999,2204,0,-.88E-6,0
GONETS-M 14,2019-096A,2026-01-02T05:19:58.219104,12.42901821,.0013696,82.5218,187.5087,153.5823,206.5958,0,U,44905,999,27306,.86305E-3,.13E-5,0
GONETS-M 15,2019-096B,2026-01-02T04:05:38.804928,12.42866139,.0015529,82.5238,187.9743,176.7891,183.3291,0,U,44906,999,27302,.60016E-3,.93E-6,0
GONETS-M 16,2019-096C,2026-01-02T04:47:21.638400,12.42885988,.0010844,82.5184,186.9877,217.7474,142.2846,0,U,44907,999,27301,.23519E-3,.42E-6,0
RS-44 & BREEZE-KM R/B,2019-096E,2026-01-02T04:26:22.425792,12.79746407,.0217783,82.5213,90.0242,172.2806,188.1740,0,U,44909,999,28111,.27237E-4,.19E-6,0
SHIJIAN-20 (SJ-20),2019-097A,2026-01-02T02:54:17.520768,1.00272584,.0007868,4.4930,77.1314,237.5398,268.5878,0,U,44910,999,2203,0,-.112E-5,0
STARLINK-1112,2020-001M,2026-01-02T06:00:02.998944,15.71272716,.0008606,53.0441,217.9219,110.8051,286.4773,0,U,44925,999,591,.68008E-3,.8846E-3,0
STARLINK-1114,2020-001P,2026-01-02T06:00:02.998944,15.16660069,.0001494,53.0556,284.5283,87.3697,208.5601,0,U,44927,999,568,.4475E-1,.962186E-2,0
STARLINK-1123,2020-001S,2026-01-02T04:15:30.396096,15.06400716,.0001403,53.0537,285.2044,86.3281,273.7869,0,U,44930,999,32982,.88899E-3,.12985E-3,0
STARLINK-1144,2020-001V,2026-01-02T06:00:02.998944,15.82318066,.0001255,53.0394,190.8803,261.6683,317.6653,0,U,44933,999,582,.12715E-2,.276424E-2,0
STARLINK-1094,2020-001AD,2026-01-02T02:58:32.520000,15.06407191,.00012,53.0532,265.4463,88.1085,272.0041,0,U,44941,999,33009,-.23029E-5,-.316E-5,0
STARLINK-1122,2020-001AM,2026-01-02T01:54:50.469120,15.06404295,.0001412,53.0544,265.6400,97.2095,262.9054,0,U,44949,999,33008,.31432E-3,.4404E-4,0
STARLINK-1080,2020-001AZ,2026-01-02T06:00:02.998944,15.33913559,.0001427,53.0620,243.3397,88.8266,197.9192,0,U,44961,999,583,.28264E-1,.1022721E-1,0
STARLINK-1090,2020-001BG,2026-01-02T01:57:30.111264,15.06412904,.0001448,53.0539,245.6313,71.5939,288.5207,0,U,44968,999,33037,.3903E-3,.5539E-4,0
TJS-5,2020-002A,2026-01-02T03:02:24.243936,1.00268380,.0005691,0.3990,88.5697,121.6504,44.6234,0,U,44978,999,2203,0,-.333E-5,0
JILIN-1 KUANFU 01,2020-003A,2026-01-02T04:27:55.762848,15.09994548,.0008761,97.5228,79.3490,152.0476,208.1225,0,U,45016,999,33027,.40635E-3,.6545E-4,0
YINHE-1,2020-004A,2026-01-02T04:10:52.901760,14.78872487,.0011761,86.3947,190.0700,214.9667,145.0782,0,U,45024,999,32138,.21206E-3,.1588E-4,0
GSAT-30,2020-005A,2026-01-02T02:55:32.401056,1.00270421,.0001741,0.0231,86.7677,148.6749,353.2187,0,U,45026,999,2184,0,-.156E-5,0
EUTELSAT KONNECT,2020-005B,2026-01-02T02:34:04.456992,1.00277261,.0002142,0.0685,93.9795,184.8584,228.6225,0,U,45027,999,2267,0,.59E-6,0
STARLINK-1132,2020-006A,2026-01-01T23:23:34.472256,15.06398701,.0001478,53.0536,206.1181,89.7773,270.3385,0,U,45044,999,32668,.24679E-4,.86E-6,0
STARLINK-1131,2020-006D,2026-01-01T21:13:39.806400,15.06378653,.0001472,53.0547,227.0574,112.2018,247.9127,0,U,45047,999,32638,.27456E-4,.127E-5,0
STARLINK-1134,2020-006E,2026-01-01T19:39:00.700704,15.34696563,.00049113,53.0344,194.1930,77.6185,282.5365,0,U,45048,999,32684,.29074127E-2,.10015E-2,0
STARLINK-1156,2020-006L,2026-01-01T22:06:36.419040,15.06393984,.0001249,53.0560,226.3552,97.8897,262.2234,0,U,45054,999,32639,.27689E-4,.131E-5,0
STARLINK-1159,2020-006P,2026-01-02T03:40:58.831680,15.60412646,.0006981,53.0508,204.2646,131.0463,229.1154,0,U,45057,999,32673,.19111E-2,.162706E-2,0
STARLINK-1166,2020-006S,2026-01-01T00:26:10.960224,15.06428331,.00013443,53.0534,230.4094,92.5201,267.5942,0,U,45060,999,32626,.94703108E-3,.13863E-3,0
